"sort_number","site","Genus_species","Family","growthform","height","loght","Country","Site","lat","long","entered.by","alt","temp","diurn.temp","isotherm","temp.seas","temp.max.warm","temp.min.cold","temp.ann.range","temp.mean.wetqr","temp.mean.dryqr","temp.mean.warmqr","temp.mean.coldqr","rain","rain.wetm","rain.drym","rain.seas","rain.wetqr","rain.dryqr","rain.warmqr","rain.coldqr","LAI","NPP","hemisphere"
24617,26,"Protea_sp","Proteaceae","Shrub",2,0.301029996,"South Africa","Stellenbosch - fynbos",33.992,18.975,"Angela",387,15.7,11.2,5.3,3.5,27.3,6.3,21,12.2,20.2,20.3,11.5,1052,160,29,59,468,95,98,459,2.01,517,-1
25159,8,"Pultenaea_juniperina","Fabaceae - P","Shrub",1.5,0.176091259,"Australia","Huon Rd, Tasmania",42.921,147.275,"Angela",346,9.9,8.8,5,3,19.6,2.2,17.4,6.5,13.8,13.8,5.9,1037,115,63,17,311,205,205,296,2.82,743,-1
2357,91,"Alloteropsis_semialata","Poaceae","Herb",0.55,-0.259637311,"Australia","Cape York",14.967,143.583,"Angela",85,26,12.4,6.2,2.3,35.1,15.1,20,27.8,23.4,28.4,22.7,1117,290,2,113,767,9,501,13,4.03,811,-1
21603,19,"Panicum_urvilleanum","Poaceae","Herb",0.2,-0.698970004,"Argentina","Mendoza - Payunia",36.25,-68.824,"Angela",1502,10.9,16.3,5.2,5.5,27.7,-3.6,31.3,17.3,6.9,18,3.8,208,23,13,17,65,44,61,47,1.89,522,-1
31003,75,"Trimenia_weinmanniifolia","Trimeniaceae","Tree",10,1,"Fiji","abtk",17.552,178.873,"Laura",6,25,6.2,6.3,1.2,30.2,20.4,9.8,26.5,23.3,26.5,23.3,2662,386,103,40,1008,350,1008,350,4.5,1800,-1
9565,101,"Cupaniopsis_anacardioides","Sapindaceae","Tree",8,0.903089987,"Australia","Darwin - East point",12.406,130.82,"Angela",11,27.5,9.6,6.2,1.5,33.9,18.5,15.4,28.2,25.2,29.1,25.2,1663,428,1,106,1091,10,428,10,4.07,956,-1
12541,199,"Fagus_sylvatica","Fagaceae","Tree",39,1.591064607,"Germany","Barvaria",49.867,10.45,"Angela",415,8,8.9,3.2,6.7,22.9,-4.1,27,16.5,0.5,16.5,-0.7,692,80,43,18,218,143,218,155,3.57,827,1
8880,198,"Corema_conradi","Ericaceae","Shrub",0.5,-0.301029996,"Canada","Quebec",47.533,-61.7,"Angela",1,4.9,6.2,2,8.2,20.4,-10.2,30.6,-1.8,11.8,15.6,-5.4,977,110,64,18,308,201,222,239,NA,NA,1
32675,102,"_8324",NA,NA,2.5,0.397940009,"Peru","Manu",12.183,-70.917,"Angela",350,24.8,10.8,7.6,0.8,31.4,17.3,14.1,25.2,23.6,25.6,23.6,2920,397,99,43,1125,336,891,350,4.26,1461,-1
32694,134,"Piranhea_sp","Picrodendraceae","Tree",12.5,1.096910013,"Mexico","Chamela",19.5,-105.043,"Angela",357,26.2,12.8,7.2,1.6,33.6,16,17.6,27.7,25.2,28,23.9,790,215,1,110,546,12,403,29,4.07,855,1
5079,92,"Bridelia_micrantha","Phyllanthaceae","Tree",9,0.954242509,"Zambia","Zambia - Mateshi",13.253,30.047,"Angela",1388,19.1,12.7,5.5,2.6,30.1,7.3,22.8,20.9,15.1,21.7,15.1,1085,265,0,118,778,0,383,0,4.03,652,-1
2720,129,"Ampelocera_hottlei","Ulmaceae","Tree",25,1.397940009,"Mexico","Chajul",16.106,-90.987,"Angela",41,25.9,11.3,6.9,1.5,34,17.8,16.2,26.6,25.8,27.5,23.7,3048,515,57,68,1422,195,680,304,4.51,1809,1
21232,149,"Opuntia_acanthocarpa","Cactaceae","Shrub",0.72,-0.142667504,"USA","California",33.633,-116.4,"Angela",900,16.7,16.6,4.7,6.6,36.3,1.5,34.8,9.9,22.6,25.4,8.9,290,46,2,57,129,22,50,126,1.01,492,1
18833,147,"Ludwigia_leptocarpa","Onagraceae","Herb/Shrub",1.5,0.176091259,"USA","South Carolina",33.217,-81.75,"Angela",54,17.5,14,4.2,6.9,33.4,0.6,32.8,26.1,13,26.1,8.2,1165,123,63,19,358,220,358,297,3.35,1415,1
21140,49,"Olearia_elliptica","Asteraceae","Shrub",2.8,0.447158031,"Australia","Toowoomba",28.085,151.729,"Angela",643,17,13.7,5.1,4.8,29.5,2.8,26.7,22.6,10.5,22.6,10.5,706,92,32,35,258,111,258,111,2.51,1119,-1
30141,68,"Tapeinosperma_grande","Myrsinaceae","Shrub/Tree",6,0.77815125,"Fiji","abkngau",17.846,178.706,"Laura",8,24.9,6.3,6.4,1.3,30.1,20.3,9.8,26.5,23.3,26.5,23.2,2731,394,109,39,1011,365,1011,371,4.51,1864,-1
3970,11,"Atherosperma_moschatum","Atherospermataceae","Tree",31,1.491361694,"Australia","Tasmania",42.683,146.35,"Angela",740,7.5,8.4,4.8,3,17.5,0.1,17.4,4,11.4,11.4,3.6,1720,182,72,23,530,280,280,495,2.96,643,-1
28244,67,"Sesbania_grandiflora","Fabaceae - P","Tree",12,1.079181246,"Fiji","a-ngau",17.917,178.65,"Laura",12,24.8,6.3,6.3,1.3,30.1,20.1,10,26.2,23.2,26.4,23,2835,401,116,37,1026,385,1019,398,4.51,1864,-1
13427,204,"Gentiana_campestris","Gentianaceae","Herb",12.4,1.093421685,"Sweden","Sodermanland",59.333,16.85,"Angela",33,6.2,7.3,2.5,7.3,21.7,-6.6,28.3,14.7,0.2,15.9,-2.8,564,70,27,29,197,90,188,116,3.07,615,1
26029,214,"Rhododendron_palustre","Ericaceae","Shrub",0.1,-1,"Greenland","Kangerlussuaq - wet",66.973,-50.569,"Angela",65,-5.1,8.2,2.3,10,14.1,-21.2,35.3,6.3,-13.7,8.1,-16.6,257,31,11,33,92,40,84,45,1.29,65,1
4620,217,"Betula_pubescens","Betulaceae","Tree",6,0.77815125,"Sweden","Abisko - forest",68.329,18.836,"Angela",521,-0.7,7,2.4,7.4,14.8,-13.7,28.5,8.3,-6.4,9.3,-9.7,422,64,18,39,168,62,158,85,1.24,61,1
12031,99,"Eucalyptus_miniata","Myrtaceae","Tree",20,1.301029996,"Australia","Howard Springs, Darwin",12.494,131.108,"Angela",26,27.3,10.5,6,1.7,34.6,17.2,17.4,28.1,24.7,29.2,24.7,1505,371,1,104,970,7,408,7,4.07,956,-1
30142,82,"Tapeinosperma_megaphyllum","Myrsinaceae","Shrub/Tree",4,0.602059991,"Fiji","abrambi",16.956,179.069,"Laura",5,25.5,6.2,6.6,1.1,30.4,21.1,9.3,26.8,24,26.8,24,2462,356,83,45,1007,284,1007,284,4.26,1886,-1
12604,145,"Ferocactus_cylindraceus","Cactaceae","Shrub",1.7,0.230448921,"USA","Tucson",32.6,-111.233,"Angela",690,20.5,17.2,4.6,7.4,39.2,2.6,36.6,29.5,23.8,30,11.4,354,57,8,50,143,29,117,97,1.26,349,1
22392,144,"Phillyrea_latifolia","Oleaceae","Shrub",3,0.477121255,"Israel","Hanadiv",32.555,34.938,"Angela",115,19.9,9.7,4.4,4.9,30.7,8.7,22,13.6,25.3,25.7,13.6,598,159,0,115,408,0,2,408,1.01,359,1
7039,148,"Ceanothus_greggii","Rhamnaceae","Shrub",3,0.477121255,"USA","California",33.383,-116,"Angela",-71,22.9,17.4,4.6,7.1,41.7,4.5,37.2,15.5,25.7,31.9,13.9,73,12,0,51,31,4,10,30,1.51,415,1
228,138,"Acacia_rigidula","Fabaceae - M","Shrub",4.5,0.653212514,"Mexico","Linares - thornscrub",24.786,-99.515,"Angela",354,22.6,13.9,4.8,5.1,36.2,7.6,28.6,26,15.6,28.5,15.6,803,154,20,66,338,68,285,68,2.26,1044,1
4297,96,"Bambusa_weberbaueri","Poaceae","Shrub",6,0.77815125,"Peru","Los Amigos - Bamboo",12.566,-70.099,"Angela",256,24.8,10.5,7.3,1,31.4,17.2,14.2,25.6,23.3,25.7,23.3,3269,470,112,45,1308,380,1001,397,4.26,1475,-1
24564,9,"Prosopidastrum_globosum","Fabaceae - M","Shrub",1.5,0.176091259,"Argentina","Puerto Madryn - steppe",42.79,-64.092,"Angela",76,13,10.2,4.6,4.3,24.4,2.6,21.8,13.7,17,18.3,7.4,214,28,9,35,77,36,37,55,1.01,404,-1
2834,109,"Andropogon_greenwayi","Poaceae","Herb",0.3,-0.522878745,"Tanzania","Serengeti, Naabi hill",3.217,35.483,"Angela",1550,13.7,8.8,6.5,1.3,20.4,6.9,13.5,14.8,12.2,14.8,11.7,1019,192,9,73,451,33,451,44,3.48,1209,-1
29075,210,"Sorbus_aucuparia","Rosaceae","Tree",15,1.176091259,"Sweeden","Umea",63.817,20.267,"Angela",21,2.7,8.5,2.4,8.9,20.7,-13.8,34.5,13.1,-4.2,14.5,-8.6,572,70,32,26,189,99,168,128,2.79,414,1
7867,6,"Chionochloa_pallens","Poaceae","Herb",1.5,0.176091259,"New Zealand","Canterbury",43.533,171.55,"Angela",1070,7.8,9.4,4.5,3.9,18.5,-2,20.5,5.5,12.5,12.6,2.6,1211,120,71,12,339,259,266,326,1.26,30,-1
24239,97,"Pourouma_minor","Urticaceae","Tree",28,1.447158031,"Peru","Los Amigos -terrace",12.552,-70.111,"Angela",237,24.8,10.5,7.3,1,31.4,17.2,14.2,25.4,23.2,25.6,23.2,3283,471,113,45,1312,383,1004,383,4.26,1475,-1
30396,46,"Themeda_triandra","Poaceae","Herb",0.7,-0.15490196,"South Africa","Zululand - ledube",28.234,32.017,"Angela",289,20.5,10.2,5.8,2.4,28.5,11,17.5,23.4,17.2,23.4,17.2,926,129,32,43,347,104,344,104,3.35,525,-1
11477,50,"Englerophytum_natalense","Sapotaceae","Tree",7,0.84509804,"South Africa","Zululand - forest",28.072,32.039,"Angela",267,19.4,10.2,6,2.3,27.2,10.3,16.9,22.1,16.5,22.1,16.2,964,139,28,49,372,97,371,97,3.35,525,-1
19797,74,"Melicytus_fasciger","Violaceae","Shrub/Tree",10,1,"Fiji","atngau",17.564,179.089,"Laura",1,25.1,6.3,6.4,1.2,30.2,20.5,9.7,26.6,23.5,26.6,23.5,2598,378,100,41,994,339,994,339,4.5,1800,-1
16616,172,"Ipomopsis_aggregata","Polemoniaceae",NA,0.81,-0.091514981,"USA","Colorado",38.867,-106.967,"Angela",2698,1.3,17.9,4,9,23.6,-20.9,44.5,-10.6,5.6,12.6,-10.6,539,60,28,20,166,100,123,166,2.24,339,1
150,57,"Acacia_aneura","Fabaceae - M","Shrub/Tree",9,0.954242509,"Australia","Kunoth Paddock - Alice Springs",23.533,133.748,"Angela",713,20.4,16,4.8,6.1,36.3,3.1,33.2,26.6,14.2,27.5,12.1,310,41,11,42,121,40,121,46,1.01,605,-1
30345,156,"Thalictrum_thalictroides","Ranunculaceae","Herb",0.2,-0.698970004,"USA","Duke Forest, Durham, NC",35.967,-79,"Angela",99,14.9,13.4,3.9,7.6,31.8,-2.4,34.2,24.6,10.2,24.6,4.8,1150,113,81,12,325,252,325,277,3.26,1274,1
21568,83,"Pandanus_taveuniensis","Pandanaceae","Tree",3.3,0.51851394,"Fiji","t",16.858,179.967,"Laura",265,24.3,6.1,6.5,1.1,29.3,20,9.3,25.6,22.8,25.6,22.8,2567,351,95,42,1009,324,1009,324,4.5,1800,-1
21606,48,"Panicum_maximum","Poaceae","Herb",0.5,-0.301029996,"South Africa","Zululand - Mbuzane",28.221,31.794,"Angela",161,21,11,5.9,2.5,29.3,10.7,18.6,23.9,17.4,23.9,17.4,834,116,25,47,321,84,309,84,3.35,525,-1
13286,87,"Gardenia_actinocarpa","Rubiaceae","Shrub/Tree",3.5,0.544068044,"Australia","Queensland",16.1,145.367,"Angela",840,21.2,9.4,5.9,2.3,28.9,13,15.9,23.4,20,23.7,17.9,1741,365,27,86,1031,92,868,116,4.04,908,-1
6781,84,"Casearia_stenophylla","Salicaceae","Shrub/Tree",4,0.602059991,"Fiji","bt",16.721,179.604,"Laura",74,25.3,6.2,6.7,1,30.2,21,9.2,26.5,23.8,26.5,23.8,2444,343,84,44,989,288,989,288,4.5,1800,-1
30971,207,"Triglochin_palustre","Juncaginaceae","Herb",0.15,-0.823908741,"USA","Alaska, Yukon delta",61.25,-165.5,"Angela",1,-1.2,6.8,2.3,8.3,13.8,-15.3,29.1,9.1,-8.7,9.6,-11.1,657,133,24,61,313,85,256,90,2.15,204,1
21743,62,"Paraserianthes_toona","Fabaceae - M","Tree",16,1.204119983,"Australia","Townsville Vine Thicket",19.332,146.773,"Angela",99,23.9,9.9,5.2,3.1,31.6,12.8,18.8,27,20.2,27.2,19.3,1036,253,9,101,674,33,631,43,4.14,1012,-1
19849,64,"Melochia_longepetiolata","Malvaceae","Tree",8,0.903089987,"Fiji","k",18.967,178.283,"Laura",72,24.1,6.4,5.9,1.5,29.8,19.1,10.7,25.7,22.3,26,22.2,2314,316,119,34,836,372,834,384,4.51,1864,-1
10796,60,"Dombeya_ciliata","Malvaceae",NA,15,1.176091259,"France?","Reunion Island",21,55.65,"Angela",191,22.7,6.3,5.2,2.1,28.7,16.8,11.9,25.3,20.4,25.3,20,1397,235,37,57,650,137,650,172,NA,NA,-1
32698,31,"Elytropappus _rhinocerotis","Asteraceae","Shrub",1.5,0.176091259,"South Africa","Stellenbosch - renosterveld",33.448,19.048,"Angela",89,17.9,13.5,5.3,4.3,31,5.7,25.3,13.2,23.2,23.2,12.4,583,94,11,63,271,48,48,266,1.51,633,-1
19298,63,"Maesa_tongensis","Maesaceae","Shrub/Tree",4,0.602059991,"Fiji","fulanga",19.133,-178.567,"Laura",0,24.9,6.2,6,1.4,30.3,20.1,10.2,26.5,23.2,26.5,23,1831,278,76,41,724,257,724,270,4.5,1800,-1
8119,178,"Cirsium_altissimum","Asteraceae","Herb",4,0.602059991,"USA","Indiana Dunes",41.617,-86.95,"Michelle",200,9.7,10.7,2.8,9.7,28.6,-9.5,38.1,21.6,-3.3,21.6,-3.3,976,104,44,23,299,165,299,165,3.26,1131,1
14005,118,"Gomphrena_globosa","Amaranthaceae","Herb",0.5,-0.301029996,NA,"Marshall Islands",9,168,"Laura",2,27.7,4.8,8.8,0.2,30.6,25.2,5.4,27.9,27.5,27.9,27.5,2585,300,82,34,870,305,855,405,NA,NA,1
8311,27,"Clerodendrum_tomentosum","Lamiaceae","Shrub",3,0.477121255,"Australia","Kuringai Chase, Sydney",33.65,151.2,"Michelle",157,16.8,10,4.8,3.9,26.1,5.5,20.6,21.2,12.3,21.4,11.5,1283,157,63,29,450,208,385,279,4.14,1563,-1
11717,54,"Eremophila_duttonii","Scrophulariaceae","Shrub",3,0.477121255,"Australia","Central Australia",23.8,133.833,"Michelle",553,20.9,16.3,4.8,6,37,3.6,33.4,28.1,14.8,28.1,12.8,278,37,9,42,109,35,109,42,1.32,756,-1
19779,69,"Melicope_evansensis","Rutaceae","Shrub/Tree",10,1,"Fiji","Viti Levu",17.8,178,"Laura",1108,19.3,6.3,5.8,1.5,25.3,14.6,10.7,21.1,17.4,21.1,17.3,3191,412,160,31,1136,521,1136,523,4.26,1795,-1
1593,86,"Acmena_graveolens","Myrtaceae","Tree",32,1.505149978,"Australia","Cairns - Daintree canopy crane",16.103,145.446,"Angela",263,25.2,8.3,5.8,2.1,31.9,17.8,14.1,27.2,22.8,27.5,22.3,2087,459,26,93,1294,92,1031,108,4.04,908,-1
24260,103,"Pouteria_sp1","Sapotaceae","Tree",21,1.322219295,"Peru","Manu",12.183,-70.55,"Angela",386,24.5,10.8,7.4,0.9,31.2,16.7,14.5,25.1,23.2,25.3,23.1,3015,416,99,45,1177,340,928,359,4.26,1405,-1
5652,106,"Calophyllum_inophyllum","Clusiaceae","Tree",25,1.397940009,"Australia","Christmas Island",10.417,105.667,"Laura",2,26.4,5,7.4,0.6,29.9,23.2,6.7,26.8,25.7,27.1,25.5,1704,309,16,66,806,92,659,135,4.51,2296,-1
2926,123,"Annona_muricata","Annonaceae","Tree",8,0.903089987,"Micronesia","Yap",9.5,138.167,"Laura",15,27.2,6.8,9.1,0.2,31.1,23.7,7.4,27.2,27.2,27.5,26.9,3031,368,144,31,1055,436,689,489,NA,NA,1
8778,107,"Corchorus_aestuans","Malvaceae","Herb",0.5,-0.301029996,"Papua New Guinea","Motupore Island",9.5,147.267,"Laura",30,26.8,8.3,7.6,0.8,32.5,21.6,10.9,27.5,25.7,27.7,25.6,1184,201,33,60,556,117,486,123,3.26,907,-1
31929,173,"Viguiera_multiflora","Asteraceae","Herb",0.315,-0.501689446,"USA","Rockies",38.966,-106.987,"Angela",2966,0.2,16.9,4,8.6,21.3,-20.8,42.1,10.5,4,11,-10.8,526,53,30,16,148,105,134,144,2.24,339,1
4768,81,"Bleasdalea_ferruginea","Proteaceae","Tree",17,1.230448921,"Fiji","abt",17.081,179.069,"Laura",2,25.4,6.2,6.5,1.1,30.4,20.9,9.5,26.8,23.9,26.8,23.9,2494,362,88,44,1003,298,1003,298,4.26,1886,-1
14820,80,"Guioa_chrysea","Sapindaceae","Tree",20,1.301029996,"Fiji","abot",17.231,178.998,"Laura",2,25.4,6.2,6.5,1.1,30.4,20.9,9.5,26.8,23.9,26.8,23.9,2494,362,88,44,1003,298,1003,298,4.26,1886,-1
11373,73,"Emmenosperma_micropetalum","Rhamnaceae","Shrub/Tree",15,1.176091259,"Fiji","ab",17.667,178.167,"Laura",312,23.5,6.3,6.2,1.3,28.9,18.8,10.1,25.1,21.7,25.1,21.7,2814,379,126,35,1027,413,1027,413,4.26,1795,-1
29999,70,"Syzygium_leucanthum","Myrtaceae","Tree",30,1.477121255,"Fiji","abk",17.783,178.508,"Laura",30,24.8,6.3,6.3,1.3,30.1,20.1,10,26.2,23.2,26.4,23,2803,390,117,37,1017,389,1013,393,4.51,1864,-1
1907,72,"Aglaia_basiphylla","Meliaceae","Tree",8,0.903089987,"Fiji","ao",17.742,178.392,"Laura",47,24.8,6.3,6.3,1.3,30,20.1,9.9,26.1,23,26.3,23,2770,381,118,37,1006,391,1005,391,4.51,1864,-1
12030,104,"Eucalyptus_tetrodonta","Myrtaceae","Tree",30,1.477121255,NA,"Melville Island",11.5,130.967,"Angela",44,27.1,9.4,6.3,1.4,33.2,18.5,14.7,27.7,24.8,28.5,24.8,1664,355,2,100,1032,12,453,12,4.04,969,-1
11388,143,"Encelia_farinosa","Asteraceae","Shrub",0.8,-0.096910013,"USA","Tucson - Sonoran desert",32.31,-110.739,"Angela",971,18.9,15.7,4.6,6.9,36.3,2.5,33.8,27.2,22.2,27.9,10.4,380,71,6,61,176,24,144,98,1.01,477,1
11375,213,"Empetrum_nigrum","Ericaceae","Shrub",0.07,-1.15490196,"USA","Alaska - 12 Mile",65.391,-145.854,"Angela",966,-6.4,11.2,2.1,15.1,20.6,-31.4,52,12.7,-15,12.7,-25.5,244,45,7,59,122,28,122,38,2.07,192,1
19961,78,"Metrosideros_collina","Myrtaceae","Tree",15,1.176091259,"Fiji","abo",17.356,178.675,"Laura",3,25,6.3,6.4,1.2,30.2,20.4,9.8,26.5,23.4,26.5,23.4,2664,384,103,40,1011,349,1011,349,4.51,1864,-1
19250,37,"Macrozamia_riedlei","Zamiaceae","Shrub",1.8,0.255272505,"Australia","Perth - Darling Scarp",32.02,116.044,"Angela",209,17,11.2,4.6,4.5,31.2,7.2,24,11.7,22.7,23.1,11.7,1003,213,13,85,566,50,54,566,1.93,708,-1
11743,55,"Eriachne_mucronata","Poaceae","Herb",0.2,-0.698970004,"Australia","Alice - the gap",23.795,133.863,"Angela",701,20.9,16.3,4.8,6,37,3.6,33.4,28.1,14.8,28.1,12.7,278,37,9,42,109,35,109,42,1.32,756,-1
8734,13,"Coprosma_areolata","Rubiaceae","Shrub",5,0.698970004,"New Zealand","Nelson",42,173,"Angela",1650,4.2,8.5,4.4,3.7,14.8,-4.4,19.2,-0.1,8.9,8.9,-0.7,2043,204,105,16,582,388,388,580,4.26,1102,-1
22391,151,"Phillyrea_latifolia","Oleaceae","Shrub",3.5,0.544068044,"Israel","Adulam",34.935,34.935,"Angela",358,4.8,7.1,2.2,8.7,21.8,-10.2,32,10.6,-5.7,16.1,-6.3,599,77,26,34,217,90,185,105,1.01,386,1
31143,189,"Tsuga_heterophylla","Pinaceae","Tree",29,1.462397998,"USA","Oregon",44,-122,"Angela",1446,5,12.8,4.1,6.1,23.5,-7.3,30.8,-1.5,13.1,13.1,-2.1,1427,246,23,65,692,106,106,642,2.07,478,1
30763,122,"Trichilia_tuberculata","Meliaceae","Tree",30,1.477121255,"Panama","BCI",9.167,-79.85,"Angela",94,26.3,6.7,7.3,0.7,31.2,22.1,9.1,25.7,26.4,27.3,25.5,2607,390,29,56,1026,138,407,705,4.51,2146,1
29309,79,"Spiraeanthemum_serratum","Cunoniaceae","Shrub/Tree",5,0.698970004,"Fiji","at",17.329,178.983,"Laura",2,25.2,6.2,6.4,1.2,30.2,20.6,9.6,26.6,23.6,26.6,23.6,2576,375,96,42,1003,325,1003,325,4.5,1800,-1
25823,174,"Ratibida_columnifera","Asteraceae","Herb",1,0,"USA","Kansas",39.083,-96.583,"Angela",407,12,12.7,3,10,32.3,-9.1,41.4,22.1,-1.4,24.5,-1.4,872,137,20,51,355,71,326,71,4.14,1414,1
20937,154,"Nyssa_sylvatica","Nyssaceae","Tree",40,1.602059991,"USA","Colorado",35.8,-89.9,"Angela",71,15.5,11.4,3.2,8.6,32.9,-2.6,35.5,15.6,21.5,26.1,3.8,1262,129,66,18,382,249,268,325,3.14,1266,1
2956,85,"Annona_muricata","Annonaceae","Tree",7,0.84509804,"Fiji","b",16.583,179.242,"Laura",611,22.5,6.1,6.4,1.1,27.7,18.3,9.4,23.8,21,23.8,21,2865,383,111,40,1110,374,1110,374,4.5,1800,-1
30008,66,"Syzygium_brackenridgei","Myrtaceae","Tree",20,1.301029996,"Fiji","ako",18.15,178.356,"Laura",13,24.8,6.3,6.1,1.4,30.2,19.9,10.3,26.1,23.1,26.4,22.9,2993,372,150,30,1025,468,969,483,4.51,1864,-1
10692,71,"Diospyros_gillespiei","Ebenaceae","Tree",15,1.176091259,"Fiji","abko",17.758,178.577,"Laura",13,24.9,6.3,6.3,1.3,30.1,20.1,10,26.5,23.3,26.5,23.2,2767,390,113,38,1012,379,1012,381,4.51,1864,-1
32309,30,"Xanthorrhoea_sp1","Xanthorrhoeaceae","Shrub",2,0.301029996,"Australia","Kuringai - Diatreme",33.578,151.292,"Angela",188,17,9.7,4.8,3.8,26.1,5.9,20.2,21.4,12.6,21.5,11.9,1307,159,64,29,455,212,391,280,4.51,1435,-1
4341,38,"Banksia_attenuata","Proteaceae","Tree",8,0.903089987,"Australia","Perth - Melaleuca Park",31.689,115.886,"Angela",60,18.3,11.5,4.9,4.1,31.7,8.5,23.2,13.5,23.5,23.9,13.5,762,160,8,84,426,33,39,426,1.51,575,-1
7841,4,"Chiliotrichum_diffusum","Asteraceae","Shrub",0.27,-0.568636236,"Argentina","Rio Turbio - heath",51.575,-72.312,"Angela",747,3.7,9.7,4.9,3.6,14,-5.6,19.6,3.5,4.2,8,-1.2,500,57,34,15,152,106,120,122,1.26,30,-1
21927,220,"Pedicularis_flammea","Orobanchaceae","Herb",0.2,-0.698970004,"Greenland","disko island",69.25,-53.6,"Angela",150,-5.7,5.5,1.8,8,8.3,-20.7,29,1.2,-16.2,4.3,-16.2,305,38,16,30,106,52,87,52,1.01,32,1
10024,111,"Dalbergia_sp","Fabaceae - P","Herb",0.25,-0.602059991,"Republic of Congo","Congo - bai",2.16,16.153,"Angela",403,24.8,10.5,8,0.6,31.6,18.5,13.1,24.4,24.8,25.6,24.1,1649,224,43,40,603,177,352,504,4.26,1648,1
