Size,Dist,Time,Rep,Wmass,Amph,Cope,Poly,Anem,Iso,Bival,Gast,Turb,Prawn,Urchin,Fish,Crab,Caddis,Opi,Ost,Bstar,Total
SMALL,0,5,1,15.8,4.746835,0,1.075949,0.126582,0,0.189873,0.379747,0.063291,0,0,0,0,0,0,0,0,6.582278
SMALL,0,5,2,13.1,1.221374,0.534351,0.610687,0,0.152672,0.152672,1.374046,0,0,0,0,0.076336,0,0.076336,0,0,4.198473
SMALL,0,5,3,25.1,0.557769,1.474104,0.079681,0,0.039841,0.039841,1.314741,0,0,0,0,0.039841,0,0,0.239044,0,3.784861
SMALL,0,5,4,29.7,0.707071,1.245791,0.16835,0,0.03367,0,0.30303,0,0,0,0,0,0,0.03367,0.10101,0,2.592593
SMALL,0,5,5,17.4,3.16092,0,0.057471,0,0.862069,0,0.517241,0,0.287356,0,0.057471,0,0.057471,0,0,0,5
SMALL,2,5,1,13.3,1.278195,1.052632,0.150376,0,0,0.150376,0.075188,0,0.075188,0,0,0,0,0,0,0,2.781955
SMALL,2,5,2,4.7,1.914894,1.276596,0.212766,0,2.553191,0,2.12766,0,0,0,0,0,0,0,0.212766,0,8.297872
SMALL,2,5,3,6.8,1.617647,4.264706,0.441176,0.147059,7.5,0.588235,1.029412,0,0,0,0,0.147059,0,0,0.147059,0,15.882353
SMALL,2,5,4,7.7,3.636364,2.727273,0.779221,0,2.467532,0.38961,0.519481,0,0,0,0,0,0,0,0,0,10.519481
SMALL,2,5,5,14.3,2.587413,5.804196,0.699301,0,3.916084,0,1.048951,0,0.06993,0,0,0,0,0,0.769231,0.06993,14.965035
SMALL,10,5,1,17.7,2.259887,0.451977,0.169492,0,0.903955,0.338983,0.677966,0,0,0,0,0.056497,0,0,1.299435,0,6.158192
SMALL,10,5,2,16.7,2.275449,1.556886,0.359281,0,1.077844,0.598802,0.359281,0,0.05988,0,0,0,0,0,0,0,6.287425
SMALL,10,5,3,8.1,2.716049,3.82716,0.37037,0,3.45679,0.246914,0.246914,0.123457,0,0,0,0,0,0,0.864198,0,11.851852
SMALL,10,5,4,15.1,4.039735,1.258278,0.066225,0.066225,1.854305,0.13245,0.397351,0,0,0,0.13245,0.066225,0,0,1.059603,0,9.072848
SMALL,10,5,5,11.8,0.762712,0.508475,0.169492,0,0.847458,0,0.254237,0,0.084746,0,0,0,0,0,0.169492,0,2.79661
SMALL,0,10,1,17.3,2.138728,0.867052,0.346821,0,0.057803,0,0.346821,0,0.115607,0,0,0,0,0,0.115607,0,3.988439
SMALL,0,10,2,27.7,0.938628,1.01083,0.758123,0.036101,0.216606,0.180505,0.794224,0,0,0,0,0,0,0,0.144404,0,4.079422
SMALL,0,10,3,11.8,1.949153,0.59322,0.254237,0,0.084746,0.254237,0.338983,0,0,0,0,0.084746,0,0,0.169492,0,3.728814
SMALL,0,10,4,11,2.363636,1.545455,0.363636,0,0,0.272727,0.454545,0,0.090909,0,0,0.181818,0,0,0.181818,0,5.454545
SMALL,0,10,5,16.1,4.658385,1.614907,0.372671,0,0.062112,0.186335,1.118012,0,0,0,0,0.062112,0,0,0.062112,0,8.136646
SMALL,2,10,1,39,1.461538,0.897436,0.076923,0,0.358974,0.025641,0.153846,0,0.102564,0,0,0,0,0,0.025641,0,3.102564
SMALL,2,10,2,12.7,4.330709,4.566929,0.23622,0,4.566929,0,0.787402,0,0,0,0.07874,0,0,0,0.551181,0.07874,15.19685
SMALL,2,10,3,12.6,5.15873,4.285714,0.079365,0,4.68254,0,0.31746,0,0,0,0.079365,0.079365,0,0,0.714286,0.15873,15.555556
SMALL,2,10,4,7.8,2.820513,1.410256,0.384615,0,1.410256,0.25641,0.128205,0,0,0,0,0,0,0,0.641026,0,7.051282
SMALL,2,10,5,10.3,5.92233,1.747573,0.291262,0,5.533981,0.194175,1.747573,0,0.097087,0,0,0,0,0,0.291262,0,15.825243
SMALL,10,10,1,17.7,1.694915,3.672316,0.056497,0,0.734463,0.112994,0.338983,0,0.169492,0,0.056497,0.056497,0,0,0.338983,0,7.231638
SMALL,10,10,2,4.8,12.916667,1.875,2.5,0,1.25,0.208333,1.458333,0,0,0,0,0,0,0,1.041667,0,21.25
SMALL,10,10,3,14.6,2.945205,1.30137,0.068493,0.068493,2.328767,0.205479,0.821918,0,0.273973,0,0,0.205479,0,0,0.890411,0.068493,9.178082
SMALL,10,10,4,15.3,1.24183,1.633987,0.130719,0,0.588235,0.326797,0.522876,0,0.065359,0,0,0.326797,0,0,0.326797,0,5.163399
SMALL,10,10,5,7.6,6.052632,2.236842,0.394737,0,3.815789,0,0.789474,0,0,0,0,0,0,0,0.789474,0.263158,14.342105
LARGE,0,5,1,8.8,3.75,4.659091,0.113636,0.113636,0.113636,0.113636,0.681818,0,0,0,0,0,0,0,0,0,9.545455
LARGE,0,5,2,17.7,3.559322,2.090395,0,0,0.056497,0,2.372881,0,0,0,0,0,0,0,0,0,8.079096
LARGE,0,5,3,13.1,0.992366,3.053435,0.381679,0.152672,1.145038,0,0.458015,0,0,0,0,0,0,0,0.152672,0,6.335878
LARGE,0,5,4,18.3,0.983607,0.382514,0.054645,0,0.273224,0.054645,0.437158,0,0,0.054645,0,0,0,0.054645,0.10929,0,2.404372
LARGE,0,5,5,16.2,1.17284,1.481481,0,0,0.37037,0.185185,1.17284,0,0,0,0,0,0,0,0.061728,0,4.444444
LARGE,2,5,1,22.1,1.221719,1.764706,0.135747,0,0.633484,0.090498,0.090498,0,0,0,0,0,0,0,0,0,3.936652
LARGE,2,5,2,5.3,3.773585,1.509434,0.377358,0,9.811321,0,2.075472,0,0,0,0,0,0,0,0,0,17.54717
LARGE,2,5,3,21.1,0.853081,1.469194,0.14218,0,1.706161,0.047393,0.14218,0,0,0,0,0,0,0,0.047393,0,4.407583
LARGE,2,5,4,15.6,0.961538,4.935897,0.448718,0,2.5,0,0.320513,0,0,0,0,0,0,0,0.25641,0,9.423077
LARGE,2,5,5,8.4,0.952381,1.547619,0,0,0.47619,0.119048,0.119048,0,0,0,0,0,0,0,0.119048,0,3.333333
LARGE,10,5,1,27.7,1.119134,1.299639,0.577617,0.036101,0.974729,0.252708,0.361011,0,0,0,0,0,0,0,0,0,4.620939
LARGE,10,5,2,23.2,0.474138,0.431034,0.043103,0,1.206897,0,0.301724,0,0,0,0,0,0,0,0.215517,0,2.672414
LARGE,10,5,3,13.5,3.333333,0,0.222222,0,0.592593,0.814815,5.407407,0,0,0,0,0,0,0,0,0,10.37037
LARGE,10,5,4,15.5,0.774194,2.064516,0,0,1.032258,0,0.064516,0,0.064516,0,0,0,0,0,0.258065,0,4.258065
LARGE,10,5,5,24.1,1.037344,0.705394,0.124481,0,0.373444,0.33195,0.124481,0,0,0,0,0,0,0,0.373444,0,3.070539
LARGE,0,10,1,19.2,0.9375,0.208333,0.052083,0,0.885417,0.3125,0.677083,0,0,0,0,0,0,0,0.15625,0,3.229167
LARGE,0,10,2,10.2,1.470588,0.588235,0.882353,0,0.098039,0.294118,0.392157,0,0,0,0,0,0,0,0.196078,0.098039,4.019608
LARGE,0,10,3,16.2,0.987654,0.37037,0.061728,0,0.061728,0.061728,0.123457,0,0.185185,0,0,0,0,0,0,0,1.851852
LARGE,0,10,4,11.5,0.695652,0.26087,0.26087,0,0.26087,0.086957,0.782609,0,0,0,0,0,0,0,0,0,2.347826
LARGE,0,10,5,18.7,0.748663,0.534759,0.106952,0,0.053476,0.374332,1.176471,0.053476,0.106952,0,0,0.053476,0,0,0.106952,0,3.315508
LARGE,2,10,1,4.2,2.857143,10.238095,0.47619,0,2.619048,0,0.47619,0,0,0,0,0.238095,0,0,0.47619,0,17.380952
LARGE,2,10,5,11.6,1.982759,3.793103,0,0,3.87931,0.172414,0.775862,0,0,0,0,0.086207,0,0,0,0,10.689655
LARGE,10,10,1,11.4,1.842105,0.438596,0.087719,0,2.982456,0,0.438596,0,0,0,0,0,0,0,0.438596,0,6.22807
LARGE,10,10,2,18.2,3.681319,1.813187,0.21978,0,2.417582,0.10989,0.659341,0,0,0.054945,0,0.164835,0,0,1.153846,0,10.274725
LARGE,10,10,3,23,1.130435,0.652174,0.173913,0,2.391304,0.086957,0.391304,0,0,0,0,0,0,0,0.130435,0,4.956522
LARGE,10,10,4,13.3,3.082707,2.556391,0.150376,0,1.203008,0.075188,0.225564,0,0,0,0,0.150376,0,0,0.75188,0,8.195489
LARGE,10,10,5,12.7,2.519685,1.574803,0.23622,0,1.338583,0.15748,0.15748,0,0,0,0,0.07874,0,0.07874,0.314961,0,6.456693
